Epoch: 1 | lr: 0.00005 | training loss: 0.32602 | validation loss: 0.39975 | PSNR: 7.304 | Time: 19.8
Epoch: 2 | lr: 0.00006 | training loss: 0.30537 | validation loss: 0.33900 | PSNR: 8.778 | Time: 18.9
Epoch: 3 | lr: 0.00007 | training loss: 0.22173 | validation loss: 0.20439 | PSNR: 14.269 | Time: 20.2
Epoch: 4 | lr: 0.00009 | training loss: 0.16611 | validation loss: 0.17620 | PSNR: 16.332 | Time: 20.3
Epoch: 5 | lr: 0.00011 | training loss: 0.14965 | validation loss: 0.16591 | PSNR: 17.258 | Time: 19.4
Epoch: 6 | lr: 0.00014 | training loss: 0.14464 | validation loss: 0.15876 | PSNR: 18.004 | Time: 19.8
Epoch: 7 | lr: 0.00017 | training loss: 0.13612 | validation loss: 0.15567 | PSNR: 18.373 | Time: 19.8
Epoch: 8 | lr: 0.00020 | training loss: 0.13475 | validation loss: 0.15232 | PSNR: 18.725 | Time: 20.0
Epoch: 9 | lr: 0.00024 | training loss: 0.13253 | validation loss: 0.14931 | PSNR: 19.084 | Time: 20.4
Epoch: 10 | lr: 0.00028 | training loss: 0.12930 | validation loss: 0.14428 | PSNR: 19.676 | Time: 19.9
Epoch: 11 | lr: 0.00033 | training loss: 0.12463 | validation loss: 0.12865 | PSNR: 21.963 | Time: 19.8
Epoch: 12 | lr: 0.00038 | training loss: 0.11894 | validation loss: 0.11825 | PSNR: 23.557 | Time: 20.1
Epoch: 13 | lr: 0.00044 | training loss: 0.11736 | validation loss: 0.11574 | PSNR: 24.344 | Time: 19.8
Epoch: 14 | lr: 0.00049 | training loss: 0.11677 | validation loss: 0.11486 | PSNR: 24.557 | Time: 21.5
Epoch: 15 | lr: 0.00056 | training loss: 0.11504 | validation loss: 0.11446 | PSNR: 24.669 | Time: 19.5
Epoch: 16 | lr: 0.00062 | training loss: 0.11446 | validation loss: 0.11380 | PSNR: 24.831 | Time: 20.8
Epoch: 17 | lr: 0.00069 | training loss: 0.11205 | validation loss: 0.11286 | PSNR: 25.531 | Time: 20.0
Epoch: 18 | lr: 0.00075 | training loss: 0.11095 | validation loss: 0.11204 | PSNR: 25.481 | Time: 20.1
Epoch: 19 | lr: 0.00082 | training loss: 0.11070 | validation loss: 0.11146 | PSNR: 25.661 | Time: 19.1
Epoch: 20 | lr: 0.00090 | training loss: 0.10946 | validation loss: 0.11056 | PSNR: 26.085 | Time: 19.5
Epoch: 21 | lr: 0.00097 | training loss: 0.10824 | validation loss: 0.10885 | PSNR: 27.214 | Time: 19.4
Epoch: 22 | lr: 0.00105 | training loss: 0.10762 | validation loss: 0.10859 | PSNR: 27.383 | Time: 20.3
Epoch: 23 | lr: 0.00112 | training loss: 0.10795 | validation loss: 0.10890 | PSNR: 27.022 | Time: 20.4
Epoch: 24 | lr: 0.00120 | training loss: 0.10824 | validation loss: 0.10934 | PSNR: 26.805 | Time: 19.6
Epoch: 25 | lr: 0.00128 | training loss: 0.10792 | validation loss: 0.10805 | PSNR: 27.760 | Time: 19.5
Epoch: 26 | lr: 0.00135 | training loss: 0.10729 | validation loss: 0.10793 | PSNR: 27.845 | Time: 19.6
Epoch: 27 | lr: 0.00143 | training loss: 0.10732 | validation loss: 0.10802 | PSNR: 27.739 | Time: 20.7
Epoch: 28 | lr: 0.00151 | training loss: 0.10709 | validation loss: 0.10772 | PSNR: 28.039 | Time: 20.6
Epoch: 29 | lr: 0.00158 | training loss: 0.10696 | validation loss: 0.10766 | PSNR: 28.070 | Time: 20.8
Epoch: 30 | lr: 0.00165 | training loss: 0.10631 | validation loss: 0.10758 | PSNR: 28.111 | Time: 19.6
Epoch: 31 | lr: 0.00173 | training loss: 0.10672 | validation loss: 0.10740 | PSNR: 28.280 | Time: 20.6
Epoch: 32 | lr: 0.00180 | training loss: 0.10694 | validation loss: 0.10817 | PSNR: 27.744 | Time: 20.7
Epoch: 33 | lr: 0.00187 | training loss: 0.10641 | validation loss: 0.10715 | PSNR: 28.454 | Time: 19.2
Epoch: 34 | lr: 0.00193 | training loss: 0.10686 | validation loss: 0.11252 | PSNR: 25.305 | Time: 20.3
Epoch: 35 | lr: 0.00200 | training loss: 0.10695 | validation loss: 0.10733 | PSNR: 28.164 | Time: 19.8
Epoch: 36 | lr: 0.00206 | training loss: 0.10658 | validation loss: 0.10673 | PSNR: 28.786 | Time: 20.3
Epoch: 37 | lr: 0.00211 | training loss: 0.10619 | validation loss: 0.10675 | PSNR: 28.653 | Time: 20.1
Epoch: 38 | lr: 0.00217 | training loss: 0.10646 | validation loss: 0.10720 | PSNR: 28.178 | Time: 18.8
Epoch: 39 | lr: 0.00222 | training loss: 0.10614 | validation loss: 0.10663 | PSNR: 28.936 | Time: 20.3
Epoch: 40 | lr: 0.00227 | training loss: 0.10606 | validation loss: 0.10645 | PSNR: 29.051 | Time: 21.2
Epoch: 41 | lr: 0.00231 | training loss: 0.10546 | validation loss: 0.10650 | PSNR: 28.993 | Time: 19.6
Epoch: 42 | lr: 0.00235 | training loss: 0.10627 | validation loss: 0.11683 | PSNR: 23.893 | Time: 19.5
Epoch: 43 | lr: 0.00238 | training loss: 0.10700 | validation loss: 0.10728 | PSNR: 28.292 | Time: 20.0
Epoch: 44 | lr: 0.00241 | training loss: 0.10614 | validation loss: 0.10727 | PSNR: 28.109 | Time: 19.8
Epoch: 45 | lr: 0.00244 | training loss: 0.10604 | validation loss: 0.10760 | PSNR: 27.809 | Time: 19.0
Epoch: 46 | lr: 0.00246 | training loss: 0.10585 | validation loss: 0.10680 | PSNR: 28.536 | Time: 21.2
Epoch: 47 | lr: 0.00248 | training loss: 0.10560 | validation loss: 0.10943 | PSNR: 26.648 | Time: 20.4
Epoch: 48 | lr: 0.00249 | training loss: 0.10573 | validation loss: 0.10756 | PSNR: 27.880 | Time: 18.9
Epoch: 49 | lr: 0.00250 | training loss: 0.10611 | validation loss: 0.10742 | PSNR: 27.955 | Time: 20.3
Epoch: 50 | lr: 0.00250 | training loss: 0.10554 | validation loss: 0.10622 | PSNR: 29.227 | Time: 22.4
Epoch: 51 | lr: 0.00250 | training loss: 0.10586 | validation loss: 0.10696 | PSNR: 28.320 | Time: 21.8
Epoch: 52 | lr: 0.00250 | training loss: 0.10539 | validation loss: 0.10608 | PSNR: 29.430 | Time: 20.0
